accession,domain,species,CN,range,average,range_no_cross,average_no_cross,range_normalized,average_normalized
NZ_LT962480,Bacteria,Pseudomonas syringae pv. syringae isolate CFBP4215,5,0.531,0.13275,0.8465,0.211625,0.66375,0.66375
NZ_CP014067,Bacteria,Enterococcus gallinarum strain FDAARGOS_163,5,0.531,0.13275,0.531,0.13275,0.66375,0.66375
NZ_CP042823,Bacteria,Methylobacterium sp. WL1,5,0.5313,0.132825,0.5313,0.132825,0.664125,0.664125
NZ_CP018629,Bacteria,Staphylococcus aureus strain MRSA107,5,0.5316,0.1329,0.6453,0.161325,0.6645,0.6645
NZ_CP031367,Bacteria,Aliarcobacter trophiarum LMG 25534,5,0.5318,0.13295,0.6949,0.173725,0.66475,0.66475
NZ_CP081496,Bacteria,Streptomyces sp. BHT-5-2,5,0.5321,0.133025,0.7826,0.19565,0.665125,0.665125
NZ_CP019670,Bacteria,Burkholderia cenocepacia strain VC12802,5,0.5321,0.133025,0.7045,0.176125,0.665125,0.665125
NZ_CP072242,Bacteria,Bacteroides thetaiotaomicron strain CL06T03C18,5,0.5326,0.13315,0.7339,0.183475,0.66575,0.66575
NZ_LR027874,Bacteria,Staphylococcus aureus strain BPH2056 isolate BPH2056,5,0.5335,0.133375,0.6215,0.155375,0.666875,0.666875
NZ_CP040530,Bacteria,Bacteroides thetaiotaomicron strain DSM 2079,5,0.5338,0.13345,0.89,0.2225,0.66725,0.66725
NZ_CP093321,Bacteria,Pseudomonas syringae CC440,5,0.5338,0.13345,0.8489,0.212225,0.66725,0.66725
NZ_CP097286,Bacteria,Pseudomonas viridiflava strain JACO-C-5,5,0.5342,0.13355,0.9621,0.240525,0.66775,0.66775
NZ_CP011536,Bacteria,Limosilactobacillus fermentum 3872,5,0.5343,0.133575,0.6683,0.167075,0.667875,0.667875
NZ_CP047584,Bacteria,Limosilactobacillus fermentum strain AGR1485,5,0.5346,0.13365,0.6718,0.16795,0.66825,0.66825
NZ_CP074409,Bacteria,Pseudomonas syringae strain KF529,5,0.5347,0.133675,0.8528,0.2132,0.668375,0.668375
NZ_CP005970,Bacteria,Pseudomonas syringae UMAF0158,5,0.5348,0.1337,0.5348,0.1337,0.6685,0.6685
NC_004663,Bacteria,Bacteroides thetaiotaomicron VPI-5482,5,0.5356,0.1339,0.5356,0.1339,0.6695,0.6695
NZ_LT906446,Bacteria,Megamonas hypermegale strain NCTC10570,5,0.5367,0.134175,0.7241,0.181025,0.670875,0.670875
NZ_CP041348,Bacteria,Komagataeibacter xylinus strain CGMCC 17276,5,0.5373,0.134325,0.9039,0.225975,0.671625,0.671625
NZ_CP046397,Bacteria,Bacteroides ovatus strain FDAARGOS_733,5,0.5375,0.134375,0.5375,0.134375,0.671875,0.671875
NZ_CP016793,Bacteria,Lentzea guizhouensis strain DHS C013,5,0.5379,0.134475,0.5379,0.134475,0.672375,0.672375
NZ_CP046246,Bacteria,Tetragenococcus halophilus strain YJ1,5,0.538,0.1345,0.538,0.1345,0.6725,0.6725
NZ_CP094853,Bacteria,Staphylococcus aureus strain NY2010,5,0.5382,0.13455,0.5972,0.1493,0.67275,0.67275
NZ_CP077074,Bacteria,Pseudomonas sessilinigenes strain CMR12a,5,0.5383,0.134575,0.8853,0.221325,0.672875,0.672875
NZ_CP026568,Bacteria,Pseudomonas syringae pv. syringae strain Pss9097,5,0.5386,0.13465,0.8458,0.21145,0.67325,0.67325
NZ_CP078139,Bacteria,Pseudomonas savastanoi pv. savastanoi strain PVFi1,5,0.5388,0.1347,0.8321,0.208025,0.6735,0.6735
NC_015589,Bacteria,Desulforamulus ruminis DSM 2154,5,0.5391,0.134775,0.7253,0.181325,0.673875,0.673875
NZ_CP074411,Bacteria,Pseudomonas syringae strain Susan762,5,0.5392,0.1348,0.8441,0.211025,0.674,0.674
NZ_CP005969,Bacteria,Pseudomonas syringae pv. syringae B301D,5,0.5395,0.134875,0.8393,0.209825,0.674375,0.674375
NZ_CP015992,Bacteria,Pseudomonas sp. TCU-HL1,5,0.5398,0.13495,0.8223,0.205575,0.67475,0.67475
NZ_CP092918,Bacteria,Pseudomonas syringae pv. helianthi strain LMG 5067,5,0.5401,0.135025,0.8447,0.211175,0.675125,0.675125
NZ_CP079716,Bacteria,Pseudomonas amygdali strain HS1,5,0.5404,0.1351,0.8413,0.210325,0.6755,0.6755
NZ_CP053029,Bacteria,Pseudomonas congelans strain TLP2,5,0.5405,0.135125,0.8428,0.2107,0.675625,0.675625
NZ_CP068055,Bacteria,Sutterella wadsworthensis strain FDAARGOS_1159,5,0.5405,0.135125,0.8126,0.20315,0.675625,0.675625
NZ_LR027878,Bacteria,Staphylococcus aureus strain BPH2003 isolate BPH2003,5,0.5405,0.135125,0.6127,0.153175,0.675625,0.675625
NC_017331,Bacteria,Staphylococcus aureus subsp. aureus TW20,5,0.5407,0.135175,0.613,0.15325,0.675875,0.675875
NZ_CP089282,Bacteria,Pseudomonas amygdali pv. loropetali strain AAC,5,0.5408,0.1352,0.8877,0.221925,0.676,0.676
NZ_CP027788,Bacteria,Staphylococcus aureus strain CMRSA-6,5,0.541,0.13525,0.6127,0.153175,0.67625,0.67625
NC_020209,Bacteria,Pseudomonas poae RE*1-1-14,5,0.5412,0.1353,0.7669,0.191725,0.6765,0.6765
NZ_LR130515,Bacteria,Staphylococcus aureus strain BPH2947 isolate BPH2947,5,0.5413,0.135325,0.612,0.153,0.676625,0.676625
NZ_CP076652,Bacteria,Pseudomonas savastanoi strain MHT1,5,0.5414,0.13535,0.8455,0.211375,0.67675,0.67675
NZ_AP025635,Bacteria,Enterococcus innesii strain DB-1,5,0.5418,0.13545,0.8499,0.212475,0.67725,0.67725
NZ_CP091147,Bacteria,Pseudomonas avellanae strain NCPPB 4222,5,0.5418,0.13545,0.844,0.211,0.67725,0.67725
NZ_LT962481,Bacteria,Pseudomonas syringae pv. syringae isolate CFBP2118,5,0.5421,0.135525,0.8724,0.2181,0.677625,0.677625
NZ_CP050440,Bacteria,Tolypothrix sp. PCC 7910,5,0.5423,0.135575,0.7953,0.198825,0.677875,0.677875
NZ_CP026847,Bacteria,Weissella koreensis strain WiKim0080,5,0.5423,0.135575,0.5423,0.135575,0.677875,0.677875
NZ_CP030138,Bacteria,Staphylococcus aureus strain M48,5,0.5425,0.135625,0.6254,0.15635,0.678125,0.678125
NZ_CP013183,Bacteria,Pseudomonas syringae pv. lapsa strain ATCC 10859,5,0.5426,0.13565,0.8437,0.210925,0.67825,0.67825
NZ_CP032459,Bacteria,Pseudomonas syringae strain CAS02,5,0.5433,0.135825,0.852,0.213,0.679125,0.679125
NZ_CP015401,Bacteria,Bacteroides caecimuris strain I48,5,0.5434,0.13585,0.7197,0.179925,0.67925,0.67925
NZ_AP020337,Bacteria,Pseudomonas sp. KUIN-1,5,0.5436,0.1359,0.8457,0.211425,0.6795,0.6795
NZ_CP066263,Bacteria,Pseudomonas syringae pv. syringae strain Pss9644,5,0.5444,0.1361,0.8408,0.2102,0.6805,0.6805
NZ_AP024464,Bacteria,Pseudomonas amygdali pv. tabaci strain 6605,5,0.5449,0.136225,0.8474,0.21185,0.681125,0.681125
NZ_AP019411,Bacteria,Pseudomonas syringae pv. actinidiae strain MAFF613020,5,0.5453,0.136325,0.5453,0.136325,0.681625,0.681625
NZ_CP085278,Bacteria,Lentilactobacillus laojiaonis strain IM3328,5,0.5454,0.13635,0.7896,0.1974,0.68175,0.68175
NZ_CP072244,Bacteria,Bacteroides ovatus strain CL06T03C20,5,0.5454,0.13635,0.5454,0.13635,0.68175,0.68175
NZ_CP023515,Bacteria,Enterococcus sp. FDAARGOS_375,5,0.5455,0.136375,0.5455,0.136375,0.681875,0.681875
NZ_AP024320,Bacteria,Limosilactobacillus fermentum strain ike38,5,0.5456,0.1364,0.5456,0.1364,0.682,0.682
NZ_CP076446,Bacteria,Limosilactobacillus fermentum strain L1,5,0.5456,0.1364,0.6648,0.1662,0.682,0.682
NZ_CP068174,Bacteria,Bacteroides caccae strain FDAARGOS_1097,5,0.5457,0.136425,0.7464,0.1866,0.682125,0.682125
NZ_CP069532,Bacteria,Bacteroides caccae strain FDAARGOS_1219,5,0.5457,0.136425,0.5457,0.136425,0.682125,0.682125
NZ_CP022412,Bacteria,Bacteroides caccae strain ATCC 43185,5,0.5458,0.13645,0.8653,0.216325,0.68225,0.68225
NC_012490,Bacteria,Rhodococcus erythropolis PR4,5,0.5459,0.136475,0.5982,0.14955,0.682375,0.682375
NZ_CP053030,Bacteria,Pseudomonas congelans strain 508,5,0.5465,0.136625,0.8452,0.2113,0.683125,0.683125
NZ_LT963402,Bacteria,Pseudomonas syringae pv. avii isolate CFBP3846,5,0.5465,0.136625,0.6072,0.1518,0.683125,0.683125
NZ_CP045799,Bacteria,Pseudomonas syringae USA011,5,0.5466,0.13665,0.8462,0.21155,0.68325,0.68325
NZ_CP006256,Bacteria,Pseudomonas syringae pv. syringae HS191,5,0.5467,0.136675,0.8474,0.21185,0.683375,0.683375
NC_015759,Bacteria,Weissella koreensis KACC 15510,5,0.5469,0.136725,0.5469,0.136725,0.683625,0.683625
NZ_CP032456,Bacteria,Pseudomonas savastanoi strain CAS03,5,0.547,0.13675,0.8497,0.212425,0.68375,0.68375
NZ_CP053835,Bacteria,Arcobacter defluvii strain LMG 25694,5,0.5472,0.1368,0.6328,0.1582,0.684,0.684
NZ_CP013957,Bacteria,Staphylococcus aureus strain V521 isolate Sequencing,5,0.5473,0.136825,0.6184,0.1546,0.684125,0.684125
NZ_CP068034,Bacteria,Pseudomonas syringae strain BIM B-268,5,0.5474,0.13685,0.8433,0.210825,0.68425,0.68425
NZ_CP045572,Bacteria,Nonomuraea phyllanthi strain WYY166,5,0.5475,0.136875,0.7455,0.186375,0.684375,0.684375
NC_019684,Bacteria,Nostoc sp. PCC 7524,5,0.5476,0.1369,0.5476,0.1369,0.6845,0.6845
NZ_CP072216,Bacteria,Bacteroides xylanisolvens strain CL11T00C03,5,0.5477,0.136925,0.5477,0.136925,0.684625,0.684625
NZ_CP012938,Bacteria,Bacteroides ovatus strain ATCC 8483,5,0.5482,0.13705,0.5482,0.13705,0.68525,0.68525
NZ_LT622246,Bacteria,Bacteroides ovatus V975,5,0.5484,0.1371,0.9066,0.22665,0.6855,0.6855
NZ_CP043939,Bacteria,Paucilactobacillus nenjiangensis strain SH-Y15,5,0.5484,0.1371,0.5484,0.1371,0.6855,0.6855
NZ_LT855380,Bacteria,Pseudomonas viridiflava strain CFBP 1590 isolate E12-5,5,0.5486,0.13715,0.8654,0.21635,0.68575,0.68575
NZ_CP049886,Bacteria,Vagococcus coleopterorum strain HDW17A,5,0.5486,0.13715,0.5486,0.13715,0.68575,0.68575
NZ_CP027783,Bacteria,Tetragenococcus osmophilus strain JCM 31126,5,0.5489,0.137225,0.5489,0.137225,0.686125,0.686125
NZ_CP088906,Bacteria,Rhodococcus qingshengii strain VT6,5,0.5489,0.137225,0.5489,0.137225,0.686125,0.686125
NZ_CP042804,Bacteria,Pseudomonas amygdali pv. tabaci str. ATCC 11528,5,0.5496,0.1374,0.8493,0.212325,0.687,0.687
NZ_CP036455,Bacteria,Streptomonospora litoralis strain M2,5,0.5499,0.137475,0.6579,0.164475,0.687375,0.687375
NZ_CP076082,Bacteria,Limosilactobacillus fermentum strain 9-4,5,0.5503,0.137575,0.8228,0.2057,0.687875,0.687875
NZ_CP035055,Bacteria,Limosilactobacillus fermentum strain SRCM 103290,5,0.5507,0.137675,0.5507,0.137675,0.688375,0.688375
NZ_CP028490,Bacteria,Pseudomonas syringae pv. atrofaciens strain LMG5095 isolate Triticum aestivum (Aestivum Group),5,0.5509,0.137725,0.7349,0.183725,0.688625,0.688625
NZ_CP087138,Bacteria,Pseudomonas sp. KNUC1026,5,0.5511,0.137775,0.8886,0.22215,0.688875,0.688875
NC_015555,Bacteria,Thermoanaerobacterium xylanolyticum LX-11,5,0.5516,0.1379,0.5516,0.1379,0.6895,0.6895
NZ_CP074375,Bacteria,Achromobacter deleyi strain As-55,5,0.5517,0.137925,0.6227,0.155675,0.689625,0.689625
NZ_CP022121,Bacteria,Dehalobacterium formicoaceticum strain DMC,5,0.5522,0.13805,0.6334,0.15835,0.69025,0.69025
NZ_CP024955,Bacteria,Kyrpidia spormannii strain EA-1,5,0.5524,0.1381,0.6852,0.1713,0.6905,0.6905
NC_016052,Bacteria,Tetragenococcus halophilus NBRC 12172,5,0.5527,0.138175,0.6316,0.1579,0.690875,0.690875
NZ_CP028101,Bacteria,Fusobacterium nucleatum subsp. nucleatum strain 25586,5,0.5528,0.1382,0.7886,0.19715,0.691,0.691
NZ_CP078080,Bacteria,Rhodococcus sp. C1,5,0.5528,0.1382,0.5857,0.146425,0.691,0.691
NZ_CP050919,Bacteria,Limosilactobacillus fermentum strain HFD1,5,0.5533,0.138325,0.6545,0.163625,0.691625,0.691625
NZ_CP044284,Bacteria,Rhodococcus erythropolis strain X5,5,0.5535,0.138375,0.5894,0.14735,0.691875,0.691875
NZ_CP014941,Bacteria,Rhodococcus sp. BH4,5,0.5537,0.138425,0.5883,0.147075,0.692125,0.692125
NZ_CP059973,Bacteria,Bacteroides luhongzhouii strain HF-5141,5,0.5538,0.13845,0.8694,0.21735,0.69225,0.69225
NZ_CP034078,Bacteria,Pseudomonas syringae pv. pisi str. PP1,5,0.5539,0.138475,0.8402,0.21005,0.692375,0.692375
NZ_AP023172,Bacteria,Rhodococcus qingshengii strain CS98,5,0.5542,0.13855,0.5836,0.1459,0.69275,0.69275
NZ_CP046099,Bacteria,Rhodococcus sp. AQ5-07,5,0.5543,0.138575,0.5543,0.138575,0.692875,0.692875
NZ_CP066265,Bacteria,Pseudomonas syringae strain PA-2-9E,5,0.5544,0.1386,0.8569,0.214225,0.693,0.693
NZ_CP075686,Bacteria,Pseudomonas amygdali pv. lachrymans strain 8,5,0.5545,0.138625,0.8392,0.2098,0.693125,0.693125
NZ_CP086066,Bacteria,Enterococcus casseliflavus strain ECB140,5,0.5546,0.13865,0.8151,0.203775,0.69325,0.69325
NZ_CP070999,Bacteria,Limosilactobacillus fermentum strain GR1009,5,0.555,0.13875,0.6557,0.163925,0.69375,0.69375
NZ_CP084212,Bacteria,Pseudomonas amygdali strain 35-1,5,0.5551,0.138775,0.8498,0.21245,0.693875,0.693875
NZ_CP094503,Bacteria,Lentilactobacillus kefiri strain Fanghua,5,0.5553,0.138825,0.5553,0.138825,0.694125,0.694125
NZ_CP044499,Bacteria,Lapidilactobacillus dextrinicus strain LH506,5,0.5556,0.1389,0.8539,0.213475,0.6945,0.6945
NZ_CP068126,Bacteria,Enterococcus casseliflavus strain FDAARGOS_1122,5,0.5556,0.1389,0.8402,0.21005,0.6945,0.6945
NZ_CP012047,Bacteria,Tetragenococcus halophilus strain MJ4,5,0.5557,0.138925,0.7256,0.1814,0.694625,0.694625
NZ_CP049888,Bacteria,Weissella coleopterorum strain HDW19,5,0.5559,0.138975,0.9158,0.22895,0.694875,0.694875
NZ_CP088239,Bacteria,Tannockella kyphosi strain BP52G,5,0.5568,0.1392,0.7913,0.197825,0.696,0.696
NC_013515,Bacteria,Streptobacillus moniliformis DSM 12112,5,0.5573,0.139325,0.7778,0.19445,0.696625,0.696625
NZ_CP071000,Bacteria,Limosilactobacillus fermentum strain GR1008,5,0.5573,0.139325,0.652,0.163,0.696625,0.696625
NZ_CP070858,Bacteria,Limosilactobacillus fermentum strain GR1103,5,0.5573,0.139325,0.6517,0.162925,0.696625,0.696625
NZ_LT985192,Bacteria,Pseudomonas syringae strain CFBP 2116,5,0.5574,0.13935,0.8296,0.2074,0.69675,0.69675
NZ_CP021104,Bacteria,Limosilactobacillus fermentum strain FTDC 8312,5,0.5576,0.1394,0.6515,0.162875,0.697,0.697
NZ_CP045034,Bacteria,Limosilactobacillus fermentum strain USM 8633,5,0.5579,0.139475,0.5579,0.139475,0.697375,0.697375
NZ_CP071001,Bacteria,Limosilactobacillus fermentum strain GR1007,5,0.5579,0.139475,0.6513,0.162825,0.697375,0.697375
NZ_CP096211,Bacteria,Enterococcus faecium strain UCH1,5,0.5584,0.1396,0.8225,0.205625,0.698,0.698
NZ_CP066583,Bacteria,Enterococcus faecium strain Dallas 103,5,0.5584,0.1396,0.6652,0.1663,0.698,0.698
NZ_CP066409,Bacteria,Enterococcus faecium strain Dallas 53_2,5,0.5586,0.13965,0.6641,0.166025,0.69825,0.69825
NZ_CP074578,Bacteria,Pseudomonas syringae strain Susan2139,5,0.5588,0.1397,0.8293,0.207325,0.6985,0.6985
NZ_CP066415,Bacteria,Enterococcus faecium strain Dallas 53_1,5,0.5588,0.1397,0.6637,0.165925,0.6985,0.6985
NZ_CP066637,Bacteria,Enterococcus faecium strain Dallas 144_1,5,0.5589,0.139725,0.6591,0.164775,0.698625,0.698625
NZ_CP043431,Bacteria,Weissella koreensis strain SK,5,0.5592,0.1398,0.5592,0.1398,0.699,0.699
NZ_CP017151,Bacteria,Limosilactobacillus fermentum strain NCC2970,5,0.5593,0.139825,0.5593,0.139825,0.699125,0.699125
NZ_CP034152,Bacteria,Rhodococcus sp. NJ-530,5,0.5596,0.1399,0.5929,0.148225,0.6995,0.6995
NZ_CP070870,Bacteria,Rhodococcus erythropolis strain R85,5,0.5598,0.13995,0.5817,0.145425,0.69975,0.69975
NZ_CP042917,Bacteria,Rhodococcus qingshengii strain RL1,5,0.5599,0.139975,0.5828,0.1457,0.699875,0.699875
NZ_CP050124,Bacteria,Rhodococcus erythropolis strain KB1,5,0.5602,0.14005,0.58,0.145,0.70025,0.70025
NZ_CP091859,Bacteria,Rhodococcus erythropolis strain CERE8,5,0.5604,0.1401,0.5807,0.145175,0.7005,0.7005
NZ_CP081913,Bacteria,Bacteroides stercoris strain BFG-121,5,0.5605,0.140125,0.5605,0.140125,0.700625,0.700625
NZ_CP072108,Bacteria,Rhodococcus qingshengii strain CL-05,5,0.5607,0.140175,0.5893,0.147325,0.700875,0.700875
NZ_CP027400,Bacteria,Streptobacillus moniliformis strain FDAARGOS_310,5,0.5607,0.140175,0.5607,0.140175,0.700875,0.700875
NZ_CP079217,Bacteria,Polyangium aurulentum strain SDU3-1,5,0.5607,0.140175,0.916,0.229,0.700875,0.700875
NZ_CP023720,Bacteria,Rhodococcus sp. H-CA8f,5,0.5608,0.1402,0.5798,0.14495,0.701,0.701
NZ_LT963409,Bacteria,Pseudomonas syringae isolate CFBP3840,5,0.5616,0.1404,0.8284,0.2071,0.702,0.702
NZ_CP013378,Bacteria,Burkholderia pseudomultivorans strain SUB-INT23-BP2,5,0.5616,0.1404,0.7818,0.19545,0.702,0.702
NZ_CP067022,Bacteria,Pseudomonas cannabina pv. alisalensis strain MAFF 301419,5,0.5617,0.140425,0.8782,0.21955,0.702125,0.702125
NZ_CP047073,Bacteria,Pseudomonas syringae pv. tomato strain delta X,5,0.5621,0.140525,0.8677,0.216925,0.702625,0.702625
NC_004578,Bacteria,Pseudomonas syringae pv. tomato str. DC3000,5,0.5621,0.140525,0.8677,0.216925,0.702625,0.702625
NZ_CP007255,Bacteria,Rhodococcus erythropolis R138,5,0.5623,0.140575,0.5623,0.140575,0.702875,0.702875
NZ_CP063234,Bacteria,Rhodococcus qingshengii strain 7B,5,0.5628,0.1407,0.5628,0.1407,0.7035,0.7035
NZ_CP067088,Bacteria,Limosilactobacillus fermentum strain B44,5,0.5629,0.140725,0.642,0.1605,0.703625,0.703625
NZ_CP041754,Bacteria,Pseudomonas sp. KBS0707,5,0.5631,0.140775,0.84,0.21,0.703875,0.703875
NZ_CP012749,Bacteria,Rhodococcus sp. 008,5,0.5634,0.14085,0.9703,0.242575,0.70425,0.70425
NZ_CP031195,Bacteria,Limosilactobacillus fermentum strain LDTM 7301,5,0.5634,0.14085,0.8416,0.2104,0.70425,0.70425
NZ_CP066427,Bacteria,Enterococcus faecium strain Dallas 57,5,0.5637,0.140925,0.6595,0.164875,0.704625,0.704625
NC_005773,Bacteria,Pseudomonas savastanoi pv. phaseolicola 1448A,5,0.5638,0.14095,0.8398,0.20995,0.70475,0.70475
NZ_CP058312,Bacteria,Staphylococcus aureus strain BLR-DV,5,0.5639,0.140975,0.5966,0.14915,0.704875,0.704875
NZ_CP066622,Bacteria,Enterococcus faecium strain Dallas 131_2,5,0.5641,0.141025,0.6612,0.1653,0.705125,0.705125
NZ_CP034099,Bacteria,Limosilactobacillus fermentum strain LMT2-75,5,0.5643,0.141075,0.5643,0.141075,0.705375,0.705375
NZ_CP066645,Bacteria,Enterococcus faecium strain Dallas 148,5,0.5648,0.1412,0.6603,0.165075,0.706,0.706
NZ_CP066591,Bacteria,Enterococcus faecium strain Dallas 107_1,5,0.5649,0.141225,0.6601,0.165025,0.706125,0.706125
NZ_CP077417,Bacteria,Rhodococcus qingshengii strain TG-1,5,0.5651,0.141275,0.586,0.1465,0.706375,0.706375
NZ_CP029804,Bacteria,Erysipelothrix rhusiopathiae strain ML101,5,0.5651,0.141275,0.5651,0.141275,0.706375,0.706375
NZ_CP066451,Bacteria,Enterococcus faecium strain Dallas 83,5,0.5653,0.141325,0.6595,0.164875,0.706625,0.706625
NC_010610,Bacteria,Limosilactobacillus fermentum IFO 3956,5,0.5656,0.1414,0.6641,0.166025,0.707,0.707
NZ_CP092101,Bacteria,Rhodococcus qingshengii strain F2-2,5,0.5657,0.141425,0.8907,0.222675,0.707125,0.707125
NZ_CP085953,Bacteria,Granulicatella elegans strain FDAARGOS_1559,5,0.5658,0.14145,0.5658,0.14145,0.70725,0.70725
NZ_CP065547,Bacteria,Enterococcus faecium strain Dallas 1,5,0.5659,0.141475,0.6597,0.164925,0.707375,0.707375
NZ_CP017697,Bacteria,Loigolactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 strain DSM 20004,5,0.5668,0.1417,0.6954,0.17385,0.7085,0.7085
NZ_CP021964,Bacteria,Limosilactobacillus fermentum strain CBA7106,5,0.5669,0.141725,0.6405,0.160125,0.708625,0.708625
NZ_CP065522,Bacteria,Limosilactobacillus fermentum strain YLF016,5,0.567,0.14175,0.7954,0.19885,0.70875,0.70875
NZ_CP047972,Bacteria,Kyrpidia spormannii strain COOX1,5,0.5671,0.141775,0.6916,0.1729,0.708875,0.708875
NZ_LR792683,Bacteria,Kyrpidia spormannii isolate COOX1,5,0.5671,0.141775,0.6916,0.1729,0.708875,0.708875
NZ_CP047971,Bacteria,Kyrpidia spormannii strain FAVT5,5,0.5671,0.141775,0.6915,0.172875,0.708875,0.708875
NZ_LR792684,Bacteria,Kyrpidia spormannii isolate FAVT5,5,0.5671,0.141775,0.6915,0.172875,0.708875,0.708875
NZ_CP032403,Bacteria,Rhodococcus erythropolis strain D310-1,5,0.5672,0.1418,0.5765,0.144125,0.709,0.709
NZ_CP019509,Bacteria,Aquaspirillum sp. LM1,5,0.5673,0.141825,0.7607,0.190175,0.709125,0.709125
NC_021235,Bacteria,Limosilactobacillus fermentum F-6,5,0.5678,0.14195,0.6547,0.163675,0.70975,0.70975
NZ_CP011295,Bacteria,Rhodococcus erythropolis strain BG43,5,0.5679,0.141975,0.5745,0.143625,0.709875,0.709875
NZ_CP016803,Bacteria,Limosilactobacillus fermentum strain SK152,5,0.5681,0.142025,0.5681,0.142025,0.710125,0.710125
NZ_CP068985,Bacteria,Nonomuraea coxensis DSM 45129,5,0.5682,0.14205,0.7164,0.1791,0.71025,0.71025
NC_016027,Bacteria,Komagataeibacter medellinensis NBRC 3288,5,0.5688,0.1422,0.9506,0.23765,0.711,0.711
NZ_CP066466,Bacteria,Enterococcus faecium strain Dallas 91,5,0.5688,0.1422,0.6624,0.1656,0.711,0.711
NZ_CP032871,Bacteria,Pseudomonas syringae pv. actinidiae strain P220,5,0.5695,0.142375,0.5811,0.145275,0.711875,0.711875
NZ_LT906621,Bacteria,Limosilactobacillus fermentum strain IMDO 130101,5,0.5696,0.1424,0.6558,0.16395,0.712,0.712
NZ_CP076458,Bacteria,Novisyntrophococcus fermenticellae strain JN500902,5,0.5697,0.142425,0.5697,0.142425,0.712125,0.712125
NZ_CP043857,Bacteria,Aliarcobacter cibarius strain H743,5,0.5706,0.14265,0.5706,0.14265,0.71325,0.71325
NZ_CP053833,Bacteria,Arcobacter cloacae strain LMG 26153,5,0.5708,0.1427,0.6222,0.15555,0.7135,0.7135
NZ_CP054207,Bacteria,Rhodococcus qingshengii strain CX-1,5,0.571,0.14275,0.5964,0.1491,0.71375,0.71375
NZ_CP081920,Bacteria,Bacteroides caccae strain BFG-100,5,0.5713,0.142825,0.5713,0.142825,0.714125,0.714125
NZ_LT963391,Bacteria,Pseudomonas syringae pv. cerasicola isolate CFBP6109,5,0.5715,0.142875,0.7963,0.199075,0.714375,0.714375
NZ_CP066443,Bacteria,Enterococcus faecium strain Dallas 71_2,5,0.572,0.143,0.6492,0.1623,0.715,0.715
NC_014378,Bacteria,Acetohalobium arabaticum DSM 5501,5,0.5722,0.14305,0.5722,0.14305,0.71525,0.71525
NZ_CP044119,Bacteria,Lentilactobacillus hilgardii strain LH500,5,0.5734,0.14335,0.5734,0.14335,0.71675,0.71675
NZ_CP032631,Bacteria,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,5,0.5737,0.143425,0.7869,0.196725,0.717125,0.717125
NZ_CP045488,Archaea,Natronorubrum aibiense strain 7-3,5,0.5739,0.143475,0.6703,0.167575,0.717375,0.717375
NZ_CP094655,Bacteria,Limosilactobacillus fermentum strain SCB0035,5,0.5742,0.14355,0.6384,0.1596,0.71775,0.71775
NZ_CP032419,Bacteria,Pseudomonas cavernae strain K2W31S-8,5,0.5743,0.143575,0.8635,0.215875,0.717875,0.717875
NZ_CP033104,Bacteria,Pseudomonas sp. LTGT-11-2Z,5,0.5743,0.143575,0.7606,0.19015,0.717875,0.717875
NC_016894,Bacteria,Acetobacterium woodii DSM 1030,5,0.5744,0.1436,0.8051,0.201275,0.718,0.718
NZ_CP011020,Bacteria,Pseudomonas chlororaphis strain UFB2 isolate Soil,5,0.5744,0.1436,0.8021,0.200525,0.718,0.718
NZ_CP032097,Bacteria,Arcobacter ellisii strain LMG 26155,5,0.5745,0.143625,0.6301,0.157525,0.718125,0.718125
NZ_CP011456,Bacteria,Anabaena sp. WA102 isolate 1,5,0.5747,0.143675,0.5747,0.143675,0.718375,0.718375
NZ_CP026558,Bacteria,Pseudomonas amygdali pv. morsprunorum strain R15244,5,0.575,0.14375,0.8215,0.205375,0.71875,0.71875
NZ_CP047569,Bacteria,Microbulbifer sp. ALW1,5,0.5751,0.143775,0.9951,0.248775,0.718875,0.718875
NZ_CP066776,Bacteria,Sulfuriroseicoccus oceanibius strain T37,5,0.5752,0.1438,0.8071,0.201775,0.719,0.719
NZ_CP030944,Bacteria,Arcobacter aquimarinus strain W63,5,0.5765,0.144125,0.6262,0.15655,0.720625,0.720625
NZ_CP089305,Bacteria,Limosilactobacillus fermentum strain M4,5,0.5772,0.1443,0.5772,0.1443,0.7215,0.7215
NZ_CP017009,Bacteria,Pseudomonas syringae pv. actinidiae strain NZ-47,5,0.5776,0.1444,0.8798,0.21995,0.722,0.722
NZ_CP020017,Bacteria,Tetragenococcus halophilus strain KUD23,5,0.5777,0.144425,0.9204,0.2301,0.722125,0.722125
NZ_CP019732,Bacteria,Pseudomonas syringae pv. actinidiae strain CRAFRU 14.08,5,0.5778,0.14445,0.88,0.22,0.72225,0.72225
NZ_CP019730,Bacteria,Pseudomonas syringae pv. actinidiae strain CRAFRU 12.29,5,0.5779,0.144475,0.8799,0.219975,0.722375,0.722375
NZ_CP050262,Bacteria,Lentilactobacillus hilgardii strain LMG 07934,5,0.578,0.1445,0.578,0.1445,0.7225,0.7225
NZ_CP011972,Bacteria,Pseudomonas syringae pv. actinidiae ICMP 18884,5,0.5782,0.14455,0.88,0.22,0.72275,0.72275
